Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*06213*,5,10,74,SF,Keegan Murray,SAC,JTTA,9/29/2023 4:52
*02xg9*,5,11,75,C,Rudy Gobert,MIN,KLIU,9/29/2023 4:54
*04ewt*,5,12,76,SG,Derrick White,BOS,PAN,9/29/2023 8:01
*06212*,5,13,77,PF,Jabari Smith,HOU,CLIU,9/29/2023 8:23
*04ewk*,5,14,78,PF,John Collins,UTA,TC,9/29/2023 8:58
*005ki*,5,15,79,C,Brook Lopez,MIL,MLAM,9/29/2023 8:59
*04qrp*,5,16,80,SF,Miles Bridges,CHA,ACP,9/29/2023 9:04
*031lx*,6,1,81,SG,CJ McCollum,NO,ACP,9/29/2023 9:31
*027ou*,6,2,82,SG,Klay Thompson,GS,MLAM,9/29/2023 9:41
*06ccf*,6,3,83,SF,Ausar Thompson,DET,TC,9/29/2023 10:18
*042n6*,6,4,84,C,Jakob Poeltl,TOR,CLIU,9/29/2023 10:57
*06ca8*,6,5,85,SF,Amen Thompson,HOU,PAN,9/30/2023 12:24
*03ad4*,6,6,86,PG,D'Angelo Russell,LAL,KLIU,9/30/2023 12:48
*04ewr*,6,7,87,PF,Kyle Kuzma,WAS,JTTA,9/30/2023 11:18
*051p9*,6,8,88,SF,Keldon Johnson,SA,GMK,9/30/2023 11:20
*051or*,6,9,89,PF,Cameron Johnson,BKN,TFLA,9/30/2023 12:49
*04qrr*,6,10,90,SF,Michael Porter,DEN,LB,9/30/2023 6:09
*049s6*,6,11,91,PG,Markelle Fultz,ORL,WGMO,9/30/2023 11:19
*0621c*,6,12,92,C,Jalen Duren,DET,JLIU,10/1/2023 12:23
*05qtt*,6,13,93,C,Onyeka Okongwu,ATL,JAGO,10/1/2023 12:30
*03nwl*,6,14,94,PG,Terry Rozier,CHA,DAVE,10/1/2023 1:04
*051pi*,6,15,95,PF,Daniel Gafford,WAS,CHIP,10/1/2023 1:16
*03e74*,6,16,96,PG,Spencer Dinwiddie,BKN,JH,10/1/2023 1:16
*02ym0*,7,1,97,SF,Andrew Wiggins,GS,JH,10/1/2023 1:17
*05qtq*,7,2,98,PG,Tre Jones,SA,CHIP,10/1/2023 1:20
*03ad0*,7,3,99,PG,Tyus Jones,WAS,DAVE,10/1/2023 5:49
*0621g*,7,4,100,PF,Tari Eason,HOU,JAGO,10/1/2023 8:29
*0621e*,7,5,101,C,Mark Williams,CHA,JLIU,10/1/2023 10:34
*04qrl*,7,6,102,C,Wendell Carter,ORL,WGMO,10/2/2023 10:09
*05uir*,7,7,103,SF,Trey Murphy,NO,LB,10/2/2023 10:31
*06215*,7,8,104,SG,Bennedict Mathurin,IND,TFLA,10/2/2023 10:39
*027oo*,7,9,105,C,Jonas Valanciunas,NO,GMK,10/2/2023 10:45
*03al1*,7,10,106,PG,Marcus Smart,MEM,JTTA,10/2/2023 3:55
*05qu9*,7,11,107,PG,Immanuel Quickley,NY,KLIU,10/2/2023 4:00
*06216*,7,12,108,SG,Shaedon Sharpe,POR,PAN,10/2/2023 4:41
*04qs4*,7,13,109,C,Robert Williams,POR,CLIU,10/2/2023 6:31
*04qse*,7,14,110,SG,Gary Trent,TOR,TC,10/2/2023 6:53
*042n3*,7,15,111,SG,Buddy Hield,IND,MLAM,10/2/2023 6:54
*03lg1*,7,16,112,PG,Ben Simmons,BKN,ACP,10/2/2023 9:48
*06cca*,8,1,113,SF,Brandon Miller,CHA,ACP,10/2/2023 9:48
*02ng3*,8,2,114,SF,Khris Middleton,MIL,MLAM,10/2/2023 11:10
*051os*,8,3,115,PF,P.J. Washington,CHA,TC,10/2/2023 11:51
*05qu0*,8,4,116,PF,Jaden McDaniels,MIN,CLIU,10/3/2023 12:29
*03e6s*,8,5,117,C,Clint Capela,ATL,PAN,10/3/2023 9:49
*05qtj*,8,6,118,SF,Deni Avdija,WAS,KLIU,10/3/2023 10:08
*04ewu*,8,7,119,SG,Josh Hart,NY,JTTA,10/3/2023 12:28
*04qrw*,8,8,120,SG,Kevin Huerter,SAC,GMK,10/3/2023 12:28
*0017e*,8,9,121,PG,Chris Paul,GS,TFLA,10/3/2023 12:40
*04ex8*,8,10,122,SG,Dillon Brooks,HOU,LB,10/3/2023 12:48
*04ewc*,8,11,123,PF,Zach Collins,SA,WGMO,10/3/2023 12:55
*06218*,8,12,124,PF,Jeremy Sochan,SA,JLIU,10/3/2023 1:44
*027p4*,8,13,125,PF,Tobias Harris,PHI,JAGO,10/3/2023 5:12
*0527l*,8,14,126,SG,Luguentz Dort,OKC,DAVE,10/3/2023 5:13
*05uj9*,8,15,127,SF,Herbert Jones,NO,CHIP,10/3/2023 6:11
*005kc*,8,16,128,PG,Russell Westbrook,LAC,JH,10/3/2023 6:12
*03e6n*,9,1,129,C,Jusuf Nurkic,PHO,JH,10/3/2023 6:12
*051oj*,9,2,130,SG,RJ Barrett,NY,CHIP,10/3/2023 6:33
*02nfz*,9,3,131,PF,Draymond Green,GS,DAVE,10/3/2023 6:39
*04qsj*,9,4,132,PG,Bruce Brown,DEN,JAGO,10/3/2023 6:50
*06cab*,9,5,133,PF,Jarace Walker,IND,JLIU,10/3/2023 6:55
*04qrm*,9,6,134,SG,Collin Sexton,UTA,WGMO,10/3/2023 8:48
*05uiz*,9,7,135,SG,Quentin Grimes,NY,LB,10/3/2023 8:53
*04qsd*,9,8,136,C,Mitchell Robinson,NY,TFLA,10/3/2023 8:56
*042nw*,9,9,137,PG,Malcolm Brogdon,POR,GMK,10/3/2023 9:28
*03nwn*,9,10,138,PF,Bobby Portis,MIL,JTTA,10/3/2023 11:02
*042nt*,9,11,139,C,Ivica Zubac,LAC,KLIU,10/3/2023 11:16
*04qsm*,9,12,140,PG,De'Anthony Melton,PHI,PAN,10/4/2023 10:03
*05uiu*,9,13,141,SF,Jalen Johnson,ATL,CLIU,10/4/2023 10:18
*06cc8*,9,14,142,C,Dereck Lively,DAL,TC,10/4/2023 10:52
*0527h*,9,15,143,C,Naz Reid,MIN,MLAM,10/4/2023 10:52
*03nwq*,9,16,144,PF,Christian Wood,LAL,ACP,10/4/2023 11:29
*03byk*,10,1,145,SG,Jordan Clarkson,UTA,ACP,10/4/2023 11:35
*05qsx*,10,2,146,PF,Obi Toppin,IND,MLAM,10/4/2023 4:14
*049kc*,10,3,147,SG,Malik Monk,SAC,TC,10/4/2023 4:22
*0621u*,10,4,148,SG,Andrew Nembhard,IND,CLIU,10/4/2023 5:18
*05qt0*,10,5,149,SF,Saddiq Bey,ATL,PAN,10/4/2023 5:47
*05qub*,10,6,150,C,Isaiah Stewart,DET,KLIU,10/4/2023 5:57
*04qsi*,10,7,151,PF,Jarred Vanderbilt,LAL,JTTA,10/4/2023 7:39
*031m4*,10,8,152,PG,Dennis Schroder,TOR,GMK,10/4/2023 7:47
*05qsl*,10,9,153,PF,Patrick Williams,CHI,TFLA,10/4/2023 8:03
*027pg*,10,10,154,SF,Bojan Bogdanovic,DET,LB,10/4/2023 8:23
*06cby*,10,11,155,SG,Keyonte George,UTA,WGMO,10/4/2023 8:27
*06cc5*,10,12,156,PG,Anthony Black,ORL,JLIU,10/4/2023 10:17
*06217*,10,13,157,PG,Dyson Daniels,NO,JAGO,10/4/2023 10:24
*03aq3*,10,14,158,SF,Kyle Anderson,MIN,DAVE,10/5/2023 7:09
*03e6u*,10,15,159,SG,Bogdan Bogdanovic,ATL,CHIP,10/5/2023 8:41
*03al0*,10,16,160,PF,Aaron Gordon,DEN,JH,10/5/2023 8:53
*05qu1*,11,1,161,C,James Wiseman,DET,JH,10/5/2023 8:54
*06ca7*,11,2,162,SF,Cam Whitmore,HOU,CHIP,10/5/2023 9:29
*0015e*,11,3,163,PG,Mike Conley,MIN,DAVE,10/5/2023 11:45
*0621j*,11,4,164,SF,Malaki Branham,SA,JAGO,10/5/2023 12:26
*06cc0*,11,5,165,PF,Taylor Hendricks,UTA,JLIU,10/5/2023 1:33
*051p2*,11,6,166,PF,Grant Williams,DAL,WGMO,10/5/2023 3:07
*03r7z*,11,7,167,SG,Norman Powell,LAC,LB,10/5/2023 3:27
*031lz*,11,8,168,C,Steven Adams,MEM,TFLA,10/5/2023 5:09
*051ok*,11,9,169,SF,De'Andre Hunter,ATL,GMK,10/5/2023 5:13
*06cc2*,11,10,170,SG,Gradey Dick,TOR,JTTA,10/5/2023 6:48
*031mb*,11,11,171,SG,Tim Hardaway,DAL,KLIU,10/5/2023 6:58
*05qst*,11,12,172,PF,Paul Reed,PHI,PAN,10/5/2023 8:41
*051on*,11,13,173,PG,Coby White,CHI,CLIU,10/5/2023 9:29
*051pq*,11,14,174,SG,Talen Horton-Tucker,UTA,TC,10/5/2023 9:45
*05uip*,11,15,175,SF,Corey Kispert,WAS,MLAM,10/5/2023 11:39
*03nwk*,11,16,176,SF,Kelly Oubre Jr.,PHI,ACP,10/6/2023 6:59
*03ad7*,12,1,177,PF,Kevon Looney,GS,ACP,10/6/2023 7:57
*042n2*,12,2,178,PG,Kris Dunn,UTA,MLAM,10/6/2023 5:06
*05uih*,12,3,179,PF,Jonathan Kuminga,GS,TC,10/6/2023 5:33
*042nf*,12,4,180,SG,Caris LeVert,CLE,CLIU,10/6/2023 7:03
*031lv*,12,5,181,SG,Kentavious Caldwell-Pope,DEN,PAN,10/6/2023 8:05
*05qt9*,12,6,182,PG,Killian Hayes,DET,KLIU,10/6/2023 8:08
*000zv*,12,7,183,C,Al Horford,BOS,JTTA,10/6/2023 9:12
*04exk*,12,8,184,PF,Aleksandar Vezenkov,SAC,GMK,10/6/2023 9:32
*031m0*,12,9,185,C,Kelly Olynyk,UTA,TFLA,10/7/2023 7:00
*051ps*,12,10,186,SG,Terance Mann,LAC,LB,10/7/2023 11:47
*05uij*,12,11,187,PG,Davion Mitchell,SAC,WGMO,10/7/2023 5:47
*05qtl*,12,12,188,PG,Cole Anthony,ORL,JLIU,10/7/2023 5:48
*04qru*,12,13,189,SG,Donte DiVincenzo,NY,JAGO,10/7/2023 5:59
*04qs9*,12,14,190,PG,Jevon Carter,CHI,DAVE,10/7/2023 9:52
*05qym*,12,15,191,SF,Kenyon Martin,LAC,CHIP,10/7/2023 10:13
*0496e*,12,16,192,PG,Alex Caruso,CHI,JH,10/7/2023 11:17
*04qry*,13,1,193,SG,Grayson Allen,PHO,JH,10/7/2023 11:18
*051p1*,13,2,194,PF,Brandon Clarke,MEM,CHIP,10/7/2023 11:21
*05uiw*,13,3,195,PF,Isaiah Jackson,IND,DAVE,10/7/2023 11:22
*05qti*,13,4,196,SG,Josh Green,DAL,JAGO,10/7/2023 11:23
*03r7u*,13,5,197,SG,Josh Richardson,MIA,JLIU,10/7/2023 11:49
*06cc1*,13,6,198,SF,Bilal Coulibaly,WAS,WGMO,10/8/2023 10:34
*051op*,13,7,199,PF,Rui Hachimura,LAL,LB,10/8/2023 10:37
*0558t*,13,8,200,SF,Max Strus,CLE,TFLA,10/8/2023 12:04
*02nf7*,13,9,201,SF,Harrison Barnes,SAC,GMK,10/8/2023 12:45
*051p0*,13,10,202,SG,Matisse Thybulle,POR,JTTA,10/8/2023 3:25
*05qtf*,13,11,203,PF,Xavier Tillman,MEM,KLIU,10/8/2023 3:56
*06cac*,13,12,204,SG,Cason Wallace,OKC,PAN,10/8/2023 9:26
*0621f*,13,13,205,SF,AJ Griffin,ATL,CLIU,10/8/2023 11:05
*062dn*,13,14,206,SF,Julian Champagnie,SA,TC,10/8/2023 11:33
*05uif*,13,15,207,SG,Jalen Suggs,ORL,MLAM,10/9/2023 12:12
*0621y*,13,16,208,SG,Max Christie,LAL,ACP,10/9/2023 12:15
*05uj1*,14,1,209,SG,Cameron Thomas,BKN,ACP,10/9/2023 12:19
*04ewb*,14,2,210,PF,Jonathan Isaac,ORL,MLAM,10/9/2023 12:26
*05g3q*,14,3,211,PG,Gabe Vincent,LAL,TC,10/9/2023 8:42
*04xdu*,14,4,212,C,Drew Eubanks,PHO,CLIU,10/9/2023 10:10
*055qo*,14,5,213,SF,Caleb Martin,MIA,PAN,10/9/2023 10:19
*06ca9*,14,6,214,SG,Jordan Hawkins,NO,KLIU,10/9/2023 10:29
*06cbx*,14,7,215,SF,Jaime Jaquez,MIA,JTTA,10/9/2023 1:49
*05qtd*,14,8,216,C,Nick Richards,CHA,GMK,10/9/2023 2:39
*0621d*,14,9,217,SG,Ochai Agbaji,UTA,TFLA,10/9/2023 2:46
*0621q*,14,10,218,SF,Nikola Jovic,MIA,LB,10/9/2023 2:47
*042ne*,14,11,219,SG,Malik Beasley,MIL,WGMO,10/9/2023 3:43
*06ca4*,14,12,220,SG,Kobe Bufkin,ATL,JLIU,10/9/2023 4:36
*06ca5*,14,13,221,SF,Kris Murray,POR,JAGO,10/9/2023 5:27
*01uz7*,14,14,222,SF,Gordon Hayward,CHA,DAVE,10/9/2023 5:29
*049ka*,14,15,223,PG,Lonzo Ball,CHI,CHIP,10/9/2023 6:36
*04s00*,14,16,224,SF,Duncan Robinson,MIA,JH,10/9/2023 6:41
*06ccv*,15,1,225,PF,Trayce Jackson-Davis,GS,JH,10/10/2023 8:13
*0621t*,15,2,226,SF,Peyton Watson,DEN,CHIP,10/10/2023 8:17
*03r7h*,15,3,227,PG,Delon Wright,WAS,DAVE,10/10/2023 8:22
*049ki*,15,4,228,PF,Marvin Bagley,DET,JAGO,10/10/2023 10:28
*05uj0*,15,5,229,PG,Bones Hyland,LAC,JLIU,10/10/2023 11:28
*0621n*,15,6,230,SF,MarJon Beauchamp,MIL,WGMO,10/10/2023 4:49
*04ewd*,15,7,231,SG,Luke Kennard,MEM,LB,10/10/2023 4:49
*04jwd*,15,8,232,SF,Royce O'Neale,BKN,TFLA,10/10/2023 5:56
*0621x*,15,9,233,PF,Jaylin Williams,OKC,GMK,10/10/2023 7:53
*04fj8*,15,10,234,PF,Chris Boucher,TOR,JTTA,10/10/2023 8:09
*06cce*,15,11,235,SG,Jalen Hood-Schifino,LAL,KLIU,10/10/2023 8:11
*051po*,15,12,236,PF,Bol Bol,PHO,PAN,10/10/2023 9:02
*06220*,15,13,237,SG,Jaden Hardy,DAL,CLIU,10/10/2023 9:57
*05uj4*,15,14,238,PF,Santi Aldama,MEM,TC,10/10/2023 10:32
*06ca2*,15,15,239,PF,Kobe Brown,LAC,MLAM,10/11/2023 7:19
*05qsp*,15,16,240,SG,Isaiah Joe,OKC,ACP,10/11/2023 7:37
